chrom	chromStart	chromEnd	probeID	probe_strand
chr1	1029116	1029118	cg25774148	-
chr1	1033014	1033016	cg06712559	-
chr1	1173811	1173813	cg14786652	-
chr1	1173934	1173936	cg25544075	+
chr1	1179531	1179533	cg07841371	-
chr1	1179533	1179535	cg23275914	-
chr1	1179582	1179584	cg14220262	-
chr1	1222160	1222162	cg00656410	+
chr1	1222256	1222258	cg10206039	-
chr1	1222700	1222702	cg05818515	+
chr1	1246845	1246847	cg25594899	-
chr1	1261366	1261368	cg11225330	+
chr1	1293970	1293972	cg03003335	+
chr1	1298161	1298163	cg14529643	-
chr1	1326416	1326418	cg05598010	-
chr1	1371565	1371567	cg05387269	+
chr1	1539762	1539764	cg13850380	-
chr1	1539828	1539830	cg00813378	+
chr1	1539884	1539886	cg08738570	+
chr1	1540263	1540265	cg22497741	+
chr1	1540294	1540296	cg16306898	-
chr1	1540356	1540358	cg16601494	+
chr1	1540361	1540363	cg15487867	+
chr1	1630475	1630477	cg24368383	-
chr1	1630550	1630552	cg04882394	-
chr1	1630994	1630996	cg00262621	+
chr1	1631319	1631321	cg06943420	-
chr1	1631480	1631482	cg11648594	-
chr1	1631751	1631753	cg26740494	-
chr1	1662412	1662414	cg15830572	+
chr1	1678111	1678113	cg20251225	+
chr1	1682542	1682544	cg10065215	-
chr1	1758170	1758172	cg08122070	-
chr1	1765252	1765254	cg00343906	+
chr1	1842882	1842884	cg04260676	+
chr1	2073740	2073742	cg16653138	-
chr1	2073820	2073822	cg13387826	-
chr1	2074120	2074122	cg03001333	+
chr1	2100618	2100620	cg07912723	+
chr1	2105203	2105205	cg08109625	-
chr1	2146677	2146679	cg10334053	-
chr1	2150875	2150877	cg26930596	+
chr1	2153079	2153081	cg04347414	+
chr1	2160954	2160956	cg24604214	+
chr1	2207887	2207889	cg26031954	+
chr1	2229609	2229611	cg05603985	-
chr1	2230446	2230448	cg09469355	+
chr1	2230561	2230563	cg08884752	+
chr1	2231997	2231999	cg15564619	+
chr1	2232089	2232091	cg15132013	+
chr1	2233102	2233104	cg02058628	-
chr1	2251998	2252000	cg07114422	+
chr1	2259410	2259412	cg24481594	-
chr1	2288492	2288494	cg08942499	-
chr1	2319177	2319179	cg20989215	+
chr1	2319356	2319358	cg00567930	+
chr1	2326454	2326456	cg12131894	+
chr1	2332225	2332227	cg17453416	-
chr1	2388066	2388068	cg11676291	-
chr1	2388174	2388176	cg26542461	-
chr1	2523265	2523267	cg24955743	-
chr1	2523371	2523373	cg09245989	-
chr1	2523824	2523826	cg06866616	+
chr1	2524996	2524998	cg00295182	-
chr1	2584252	2584254	cg02393107	-
chr1	3033086	3033088	cg19825898	+
chr1	3063252	3063254	cg09074856	-
chr1	3063598	3063600	cg04484550	+
chr1	3063815	3063817	cg01514538	-
chr1	3063834	3063836	cg12050271	+
chr1	3063981	3063983	cg03969902	-
chr1	3067710	3067712	cg12140144	+
chr1	3140114	3140116	cg17455155	+
chr1	3415623	3415625	cg14171460	+
chr1	3466000	3466002	cg15015996	-
chr1	3646233	3646235	cg16395997	+
chr1	3647466	3647468	cg05399785	-
chr1	3910078	3910080	cg26160564	+
chr1	4027153	4027155	cg13443938	-
chr1	4027165	4027167	cg16686279	-
chr1	4161555	4161557	cg07425646	+
chr1	4653972	4653974	cg13495205	+
chr1	5286487	5286489	cg20794208	+
chr1	5890148	5890150	cg01309569	-
chr1	5938509	5938511	cg14071324	-
chr1	5994806	5994808	cg00702417	+
chr1	6003077	6003079	cg17718960	+
chr1	6026087	6026089	cg12604162	+
chr1	6026591	6026593	cg06753281	-
chr1	6041278	6041280	cg02448796	-
chr1	6205968	6205970	cg16094412	+
chr1	6276650	6276652	cg16034168	-
chr1	6294947	6294949	cg25029657	-
chr1	6294999	6295001	cg13209388	-
chr1	6330412	6330414	cg18167466	+
chr1	6330732	6330734	cg00081799	-
chr1	6359545	6359547	cg16049283	-
chr1	6365258	6365260	cg18148314	-
chr1	6466470	6466472	cg04500986	+
chr1	6466522	6466524	cg26056577	+
chr1	6493449	6493451	cg21012139	-
chr1	6881326	6881328	cg04218548	-
chr1	7402115	7402117	cg08923594	+
chr1	7770794	7770796	cg12072178	-
chr1	7774748	7774750	cg20149362	-
chr1	7781661	7781663	cg03263730	-
chr1	7842711	7842713	cg11978441	-
chr1	8152782	8152784	cg05270224	+
chr1	8420902	8420904	cg13400249	-
chr1	8458084	8458086	cg15148088	+
chr1	8496661	8496663	cg11080552	+
chr1	8510165	8510167	cg14286456	-
chr1	8533435	8533437	cg21774136	-
chr1	8627894	8627896	cg07836226	-
chr1	8643756	8643758	cg01024458	+
chr1	8871075	8871077	cg13785123	-
chr1	8926974	8926976	cg01002223	-
chr1	8946620	8946622	cg25919221	+
chr1	8971202	8971204	cg04785083	-
chr1	8986947	8986949	cg12102235	+
chr1	9018417	9018419	cg07343511	+
chr1	9122111	9122113	cg20284891	-
chr1	9279623	9279625	cg20700740	-
chr1	9406268	9406270	cg16295156	+
chr1	9413691	9413693	cg12547807	-
chr1	9426720	9426722	cg04717485	-
chr1	9467113	9467115	cg13225830	-
chr1	9559823	9559825	cg23824902	-
chr1	9608343	9608345	cg02769743	+
chr1	9629744	9629746	cg21164509	+
chr1	9715696	9715698	cg23098018	-
chr1	9715926	9715928	cg11947782	+
chr1	9716074	9716076	cg01943221	-
chr1	9728656	9728658	cg07499142	+
chr1	9728708	9728710	cg12033075	+
chr1	9728710	9728712	cg03971555	+
chr1	9729106	9729108	cg07970040	+
chr1	9729115	9729117	cg04340595	-
chr1	9787820	9787822	cg07589991	+
chr1	9820712	9820714	cg23261073	+
chr1	9865847	9865849	cg24592782	-
chr1	9908071	9908073	cg11544657	+
chr1	9998009	9998011	cg15090005	-
chr1	10179958	10179960	cg27508545	-
chr1	10179966	10179968	cg23661000	-
chr1	10211665	10211667	cg19092837	+
chr1	10303930	10303932	cg26247646	-
chr1	10672275	10672277	cg10053369	-
chr1	10773874	10773876	cg07917614	+
chr1	10932396	10932398	cg04224025	+
chr1	11147649	11147651	cg16118379	-
chr1	11276205	11276207	cg07035242	-
chr1	11662877	11662879	cg01554529	+
chr1	11693280	11693282	cg12403889	+
chr1	12178332	12178334	cg22677556	+
chr1	12249816	12249818	cg05774892	+
chr1	12385277	12385279	cg04275506	-
chr1	12448065	12448067	cg20931951	-
chr1	12453440	12453442	cg17494034	-
chr1	12473064	12473066	cg06758644	-
chr1	12499728	12499730	cg10987347	-
chr1	12550073	12550075	cg07804749	+
chr1	12746078	12746080	cg00945108	-
chr1	13705538	13705540	cg07708453	+
chr1	13784856	13784858	cg03945895	-
chr1	13823319	13823321	cg11522493	+
chr1	14736032	14736034	cg19626253	-
chr1	15065936	15065938	cg03538296	+
chr1	15152351	15152353	cg24349832	-
chr1	15214949	15214951	cg26027853	-
chr1	15346136	15346138	cg06207778	-
chr1	15407347	15407349	cg03048488	+
chr1	16146232	16146234	cg27582323	+
chr1	16146647	16146649	cg26371327	-
chr1	16227675	16227677	cg20611680	+
chr1	16370051	16370053	cg15553418	+
chr1	16375980	16375982	cg14791193	+
chr1	17181845	17181847	cg23013029	-
chr1	17201742	17201744	cg19414383	+
chr1	17425423	17425425	cg17918090	-
chr1	17425477	17425479	cg21932513	+
chr1	18891717	18891719	cg21471199	+
chr1	19074427	19074429	cg21417130	+
chr1	19074574	19074576	cg16265859	+
chr1	19179986	19179988	cg24742520	-
chr1	19220790	19220792	cg26227957	+
chr1	19342664	19342666	cg03470939	+
chr1	19414227	19414229	cg17786902	+
chr1	19437985	19437987	cg25839439	-
chr1	19438191	19438193	cg11962640	+
chr1	19477437	19477439	cg03654273	+
chr1	20343298	20343300	cg04552470	-
chr1	20366318	20366320	cg16023415	-
chr1	20717647	20717649	cg08890418	-
chr1	21069844	21069846	cg08539965	-
chr1	21279557	21279559	cg13447099	+
chr1	21290948	21290950	cg26348226	+
chr1	21294318	21294320	cg07996532	+
chr1	21639816	21639818	cg07499899	+
chr1	21814520	21814522	cg15467646	+
chr1	22105115	22105117	cg10895682	+
chr1	22351242	22351244	cg00456299	+
chr1	22351535	22351537	cg22488750	+
chr1	23023560	23023562	cg25199552	+
chr1	23195321	23195323	cg04974804	-
chr1	23535413	23535415	cg03386536	+
chr1	23558211	23558213	cg02343604	-
chr1	23627065	23627067	cg22613968	-
chr1	23627287	23627289	cg18418928	-
chr1	23804509	23804511	cg21696012	-
chr1	24501605	24501607	cg11257888	+
chr1	24503496	24503498	cg00917251	+
chr1	24504656	24504658	cg01768001	-
chr1	24506820	24506822	cg15519096	-
chr1	24535113	24535115	cg20146241	-
chr1	24535217	24535219	cg18128887	-
chr1	24535327	24535329	cg01519464	+
chr1	24535381	24535383	cg25140783	-
chr1	24535428	24535430	cg26692749	-
chr1	24748641	24748643	cg24466100	+
chr1	24911779	24911781	cg21217270	+
chr1	24914440	24914442	cg20674490	+
chr1	24914446	24914448	cg05162523	+
chr1	24915655	24915657	cg01103597	-
chr1	24923002	24923004	cg01104425	-
chr1	24964549	24964551	cg07236781	-
chr1	24965048	24965050	cg04554131	+
chr1	24965054	24965056	cg27058497	+
chr1	24965092	24965094	cg22153728	+
chr1	24965413	24965415	cg09993145	+
chr1	25022336	25022338	cg04871726	-
chr1	25023070	25023072	cg18975416	-
chr1	25550134	25550136	cg22442430	-
chr1	25618220	25618222	cg16836311	-
chr1	25618550	25618552	cg09027133	-
chr1	25775263	25775265	cg15131146	-
chr1	26282436	26282438	cg15628303	+
chr1	26318023	26318025	cg16068833	+
chr1	26318081	26318083	cg19743891	-
chr1	26318330	26318332	cg16664472	+
chr1	26545845	26545847	cg21004490	-
chr1	26546033	26546035	cg23229016	-
chr1	26554315	26554317	cg16395432	-
chr1	27113971	27113973	cg17820878	+
chr1	27114047	27114049	cg13300580	-
chr1	27118870	27118872	cg07359379	-
chr1	27350580	27350582	cg04123310	+
chr1	27350748	27350750	cg01963906	-
chr1	27360276	27360278	cg06507987	+
chr1	27360740	27360742	cg20996351	-
chr1	27366906	27366908	cg20651453	+
chr1	27383300	27383302	cg11955474	+
chr1	27522665	27522667	cg12759387	-
chr1	27522783	27522785	cg24527636	+
chr1	27575557	27575559	cg24442740	-
chr1	27576043	27576045	cg27424995	+
chr1	27623831	27623833	cg11254522	+
chr1	27626824	27626826	cg12465678	-
chr1	27887288	27887290	cg11176159	+
chr1	28195028	28195030	cg20460771	+
chr1	28529768	28529770	cg00261690	-
chr1	28549495	28549497	cg07114510	-
chr1	28668474	28668476	cg11336539	-
chr1	28775336	28775338	cg22861340	+
chr1	28812423	28812425	cg08366446	-
chr1	29122843	29122845	cg00866556	-
chr1	29260604	29260606	cg05694921	-
chr1	30685451	30685453	cg16107724	-
chr1	30732781	30732783	cg13246468	-
chr1	30757753	30757755	cg12732155	+
chr1	30757998	30758000	cg24459792	-
chr1	30761589	30761591	cg25310233	-
chr1	30929394	30929396	cg26070757	+
chr1	30933326	30933328	cg20976977	+
chr1	31019645	31019647	cg20790367	+
chr1	31058381	31058383	cg12297231	+
chr1	31485397	31485399	cg04552418	+
chr1	31789652	31789654	cg01791441	-
chr1	31889482	31889484	cg07222861	-
chr1	31939481	31939483	cg21545720	-
chr1	32208589	32208591	cg01935086	-
chr1	32250955	32250957	cg11683242	+
chr1	32251171	32251173	cg12710152	+
chr1	32251359	32251361	cg05350315	+
chr1	32251400	32251402	cg17078393	+
chr1	32252018	32252020	cg06517940	-
chr1	32272649	32272651	cg14781242	-
chr1	32274800	32274802	cg09684338	-
chr1	32296222	32296224	cg14975122	-
chr1	32604467	32604469	cg09066963	+
chr1	32741818	32741820	cg22944360	-
chr1	33006335	33006337	cg26070099	+
chr1	33031523	33031525	cg11254053	-
chr1	33039856	33039858	cg26419676	+
chr1	33334101	33334103	cg06179749	-
chr1	33433750	33433752	cg19082496	+
chr1	33955318	33955320	cg15207669	+
chr1	34792256	34792258	cg22558673	+
chr1	34885738	34885740	cg26228266	+
chr1	34980961	34980963	cg27175380	+
chr1	35431498	35431500	cg16902255	-
chr1	35538947	35538949	cg13550410	+
chr1	35574053	35574055	cg14962509	-
chr1	35720337	35720339	cg15644413	+
chr1	36320683	36320685	cg17942851	-
chr1	36360043	36360045	cg05798664	-
chr1	37519088	37519090	cg19594892	+
chr1	37534568	37534570	cg22437405	+
chr1	37844383	37844385	cg13567986	+
chr1	38836224	38836226	cg04094548	+
chr1	39034397	39034399	cg14656441	+
chr1	39047653	39047655	cg05005073	+
chr1	39108612	39108614	cg09019648	-
chr1	39151416	39151418	cg24342696	-
chr1	39184264	39184266	cg18154117	+
chr1	39192455	39192457	cg10316899	+
chr1	39269469	39269471	cg18647268	-
chr1	39409565	39409567	cg07570723	-
chr1	39478293	39478295	cg08943107	-
chr1	39841584	39841586	cg00255699	+
chr1	39845469	39845471	cg22016731	-
chr1	40073359	40073361	cg07033722	+
chr1	40478240	40478242	cg22449337	-
chr1	40818462	40818464	cg06626599	-
chr1	40860644	40860646	cg04011995	+
chr1	40884341	40884343	cg13472192	+
chr1	41012516	41012518	cg06083001	+
chr1	41016010	41016012	cg13367406	-
chr1	41516117	41516119	cg15482882	+
chr1	41516355	41516357	cg12034678	-
chr1	41807634	41807636	cg11850861	-
chr1	41868612	41868614	cg21830221	-
chr1	41892376	41892378	cg16128096	-
chr1	42162913	42162915	cg23022656	-
chr1	42785401	42785403	cg27232866	-
chr1	42851427	42851429	cg14965064	-
chr1	42851453	42851455	cg08595490	-
chr1	42851519	42851521	cg00977903	+
chr1	43206950	43206952	cg16251626	-
chr1	43529707	43529709	cg19824710	+
chr1	43565628	43565630	cg23671221	+
chr1	43581755	43581757	cg15482928	+
chr1	43711172	43711174	cg19636224	+
chr1	43878793	43878795	cg07598341	-
chr1	44250285	44250287	cg12643917	-
chr1	44327907	44327909	cg22709362	-
chr1	44407556	44407558	cg10224098	+
chr1	44617031	44617033	cg24591770	-
